  n     arm  expanded  d_nodes      sec   d_sec  cover    hit   cost
--------------------------------------------------------------------
 20    base        88       0%     0.04      0%     0%     0%     64
 20  ship16        32     -64%     0.01    -71%    94%    94%     64

 22    base       207       0%     0.12      0%     0%     0%     76
 22  ship16        54     -74%     0.04    -70%    54%    54%     76

 24    base       130       0%     0.07      0%     0%     0%     66
 24  ship16        71     -45%     0.04    -41%    48%    48%     66

 26    base       936       0%     0.75      0%     0%     0%    111
 26  ship16       591     -37%     0.50    -33%    24%    24%    111

 30    base      1921       0%     1.73      0%     0%     0%    135
 30  ship16      1411     -27%     1.38    -21%    14%    14%    135

