n<=16:   47284 entries  load   0.01s  resident      20 MB  on disk   14.7 MB
n<=18:  470975 entries  load   0.10s  resident     211 MB  on disk  166.8 MB

  n  seed  base sec  tab sec   d_sec  base exp  tab exp   d_exp   hit
 26   182      0.74     0.11    -84%       936      181    -81%   56%
 26   183      1.11     0.14    -87%      1321      218    -83%   77%
 30   210      1.62     0.42    -74%      1921      477    -75%   37%
 30   211      0.16     0.04    -76%       283       88    -69%   93%
 32   224      5.56     1.93    -65%      5764     1990    -65%   22%
 32   225     11.94     7.90    -34%     10410     6828    -34%   10%
 34   238      3.63     2.22    -39%      3434     2031    -41%   12%
 34   239     18.61    15.10    -19%     12545    10674    -15%    3%
 36   252      5.18     3.13    -40%      4402     2435    -45%   15%
 36   253    183.44   165.99    -10%    116264   110595     -5%    2%
